"UNITID","NUMBRANCH","HBCU","PBI","ANNHI","TRIBAL","AANAPII","HSI","NANTI","MENONLY","WOMENONLY","ADM_RATE","ADM_RATE_ALL","SATVR25","SATVR75","SATMT25","SATMT75","SATVRMID","SATMTMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTCMMID","ACTENMID","ACTMTMID","SAT_AVG","SAT_AVG_ALL","CIP01BACHL","CIP03BACHL","CIP04BACHL","CIP05BACHL","CIP09BACHL","CIP10BACHL","CIP11BACHL","CIP12BACHL","CIP13BACHL","CIP14BACHL","CIP15BACHL","CIP16BACHL","CIP19BACHL","CIP22BACHL","CIP23BACHL","CIP24BACHL","CIP25BACHL","CIP26BACHL","CIP27BACHL","CIP29BACHL","CIP30BACHL","CIP31BACHL","CIP38BACHL","CIP39BACHL","CIP40BACHL","CIP41BACHL","CIP42BACHL","CIP43BACHL","CIP44BACHL","CIP45BACHL","CIP46BACHL","CIP47BACHL","CIP48BACHL","CIP49BACHL","CIP50BACHL","CIP51BACHL","CIP52BACHL","CIP54BACHL","DISTANCEONLY","UGDS","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","COSTT4_A","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PFTFAC","UG25ABV","COMP_ORIG_YR2_RT","COMP_ORIG_YR3_RT","COMP_ORIG_YR4_RT","COMP_ORIG_YR6_RT","COMP_ORIG_YR8_RT","OPEFLAG","ADMCON7","UGDS_MEN","UGDS_WOMEN","MD_EARN_WNE_P6","PCT25_EARN_WNE_P6","PCT75_EARN_WNE_P6","COUNT_NWNE_1YR","COUNT_WNE_1YR","BOOKSUPPLY","ROOMBOARD_ON","OTHEREXPENSE_ON","ROOMBOARD_OFF","OTHEREXPENSE_OFF","C150_4","OVERALL_YR6_N","NPT4","NPT41","NPT42","NPT43","NPT44","NPT45","GPA_BOTTOM_TEN_PERCENT","COST_INSTATE_ONCAMPUS","COST_INSTATE_OFFCAMPUS","COST_OUTSTATE_ONCAMPUS","COST_OUTSTATE_OFFCAMPUS","FINAID1","FINAID2","FINAID3","FINAID4","FINAID5","STABBR.AK","STABBR.AL","STABBR.AR","STABBR.AS","STABBR.AZ","STABBR.CA","STABBR.CO","STABBR.CT","STABBR.DC","STABBR.DE","STABBR.FL","STABBR.GA","STABBR.GU","STABBR.HI","STABBR.IA","STABBR.ID","STABBR.IL","STABBR.IN","STABBR.KS","STABBR.KY","STABBR.LA","STABBR.MA","STABBR.MD","STABBR.ME","STABBR.MH","STABBR.MI","STABBR.MN","STABBR.MO","STABBR.MP","STABBR.MS","STABBR.MT","STABBR.NC","STABBR.ND","STABBR.NE","STABBR.NH","STABBR.NJ","STABBR.NM","STABBR.NV","STABBR.NY","STABBR.OH","STABBR.OK","STABBR.OR","STABBR.PA","STABBR.PR","STABBR.RI","STABBR.SC","STABBR.SD","STABBR.TN","STABBR.TX","STABBR.UT","STABBR.VA","STABBR.VI","STABBR.VT","STABBR.WA","STABBR.WI","STABBR.WV","STABBR.WY","CONTROL.1","CONTROL.2","CONTROL.3","REGION.0","REGION.1","REGION.2","REGION.3","REGION.4","REGION.5","REGION.6","REGION.7","REGION.8","REGION.9","LOCALE..","LOCALE.1","LOCALE.2","LOCALE.3","LOCALE.4","CCBASIC..2","CCBASIC.1","CCBASIC.4","CCBASIC.5","CCBASIC.10","CCBASIC.14","CCBASIC.15","CCBASIC.16","CCBASIC.17","CCBASIC.18","CCBASIC.19","CCBASIC.20","CCBASIC.21","CCBASIC.22","CCBASIC.23","CCBASIC.24","CCBASIC.25","CCBASIC.26","CCBASIC.27","CCBASIC.28","CCBASIC.29","CCBASIC.30","CCBASIC.31","CCBASIC.32","CCBASIC.33","RELAFFIL..1","RELAFFIL.22","RELAFFIL.24","RELAFFIL.27","RELAFFIL.28","RELAFFIL.30","RELAFFIL.33","RELAFFIL.34","RELAFFIL.35","RELAFFIL.37","RELAFFIL.38","RELAFFIL.39","RELAFFIL.41","RELAFFIL.42","RELAFFIL.43","RELAFFIL.44","RELAFFIL.47","RELAFFIL.48","RELAFFIL.49","RELAFFIL.50","RELAFFIL.51","RELAFFIL.52","RELAFFIL.54","RELAFFIL.55","RELAFFIL.57","RELAFFIL.58","RELAFFIL.59","RELAFFIL.60","RELAFFIL.61","RELAFFIL.64","RELAFFIL.65","RELAFFIL.66","RELAFFIL.67","RELAFFIL.68","RELAFFIL.69","RELAFFIL.71","RELAFFIL.73","RELAFFIL.74","RELAFFIL.75","RELAFFIL.76","RELAFFIL.78","RELAFFIL.79","RELAFFIL.80","RELAFFIL.81","RELAFFIL.84","RELAFFIL.87","RELAFFIL.88","RELAFFIL.89","RELAFFIL.91","RELAFFIL.94","RELAFFIL.95","RELAFFIL.97","RELAFFIL.99","RELAFFIL.100","RELAFFIL.102","RELAFFIL.103","RELAFFIL.105","RELAFFIL.107","RELAFFIL.108","OPEFLAG.1","OPEFLAG.2","OPEFLAG.3","OPEFLAG.5","OPEFLAG.7","CLIMATE_ZONE.Af","CLIMATE_ZONE.Am","CLIMATE_ZONE.As","CLIMATE_ZONE.Aw","CLIMATE_ZONE.BSh","CLIMATE_ZONE.BSk","CLIMATE_ZONE.BWh","CLIMATE_ZONE.BWk","CLIMATE_ZONE.Cfa","CLIMATE_ZONE.Cfb","CLIMATE_ZONE.Csa","CLIMATE_ZONE.Csb","CLIMATE_ZONE.Dfa","CLIMATE_ZONE.Dfb","CLIMATE_ZONE.Dfc","CLIMATE_ZONE.Dwa","SELECT","TEACH_QUAL"
100654,-0.214625642,1,0,0,0,0,0,0,0,0,1.161141073,1.163553983,-1.487832441,-2.126811692,-1.618638361,-1.721685964,-1.785571677,-1.69763439,-1.441091008,-2.022604799,-1.322380096,-1.525791279,-1.100576113,-2.161537703,-1.828574793,-1.537663672,-1.577716195,-1.810578716,-1.827562182,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,2,0,0,0.12021339,-1.905649295,3.991008287,-0.723776664,-0.633799606,-0.134803511,-0.091400457,-0.766644402,-0.436328324,0.05758227,-0.64347082,-0.755408702,-0.434216398,-0.635889614,-0.455595997,0.099800035,0.316410599,-0.877035449,-1.111494431,-1.564184261,-1.339112016,-1.109054974,-0.819527709,1,1,-0.170946207,0.219098596,-0.895567734,-0.907776172,-0.839326515,-0.311395881,-0.348204872,0.7183979,-0.409109132,-0.169754015,-0.364735336,-0.431697245,-1.067969196,-0.15751325,-0.502984206,-0.172208791,-0.328544964,-0.041885542,-0.350885103,-0.556634933,-0.965202081,-0.746507518,-0.821484173,-0.449182306,-0.514750314,-0.662938864,-0.580590559,-0.767944292,-0.636795415,-0.56987932,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.0247076516,-0.0065573884
100663,-0.214625642,0,0,0,0,0,0,0,0,0,0.228550098,0.226734388,1.013176713,1.487530786,0.503687398,1.428072395,1.260100986,0.992841869,0.657073734,1.137894876,0.787990249,1.67689813,0.500250362,0.732896379,0.98775704,1.181636938,0.706654278,1.051247651,0.957224024,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,2,2,1,0,1.166109568,0.142936262,0.521602505,-0.478950153,0.353606581,-0.133427243,-0.113003304,0.335079067,-0.237989393,-0.476571376,-0.554257985,-0.854852678,-0.301387432,-0.145794014,0.373836643,1.350750396,0.551116806,-0.2286713,-0.27403468,-0.382495787,-0.02844918,0.225346507,0.277853511,1,1,-0.211495677,0.258934943,-0.070787244,-0.009273285,0.03562972,0.179844021,0.364306752,-0.024850393,0.602299795,1.788924226,0.594070747,0.908344937,0.539340687,0.098138532,-0.272405494,-0.140348793,-0.106167632,-0.069466998,-0.293075594,-0.553121199,0.757441098,-0.520237944,-0.582472559,0.003767282,-0.031472415,-0.575490491,-0.597810795,-0.642300568,-0.554234882,-0.41916449,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4621884522,0.98657691925
100690,-0.214625642,0,0,0,0,0,0,0,0,0,-0.787690524,-0.738957963,-0.908752629,-0.945984743,-0.81227248,-1.02249636,-0.962292515,-0.88697455,-0.829625855,-1.017565902,-0.965375779,-0.979554808,-0.799620736,-1.17528609,-0.956555011,-0.970236278,-1.094735009,-0.923250857,-1.00087401,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,-0.516644826,-1.257519858,3.061386792,-0.686071315,-0.621812884,-0.126545902,-0.121104371,0.218933521,-0.523101607,-0.26159102,-1.154062725,-0.965361162,-1.313023666,0.353695279,-0.482051356,-1.219315884,1.369672926,2.372020606,-0.307287707,-1.722410014,-1.587297397,-1.836538891,-1.208787538,1,1,-0.715994281,0.754561184,-0.565015508,-0.604284592,-0.389230545,-0.388720681,-0.52266424,-0.582286613,-0.914754237,-0.370929738,-0.252192073,-1.241702458,-0.896541909,-0.343214125,-1.241235457,-0.904074742,-0.966980518,-0.977595288,-1.04631901,-1.075007971,-0.764227044,-1.088774103,-1.140339711,-1.379672613,-1.461549027,-0.856230426,-0.832548747,-0.859057567,-0.881426474,-0.94742674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.3132715419,-0.6466514305
100706,-0.214625642,0,0,0,0,0,0,0,0,0,0.687885951,0.688152995,2.109773034,2.33796431,2.095431718,2.875258669,2.255020722,2.522720527,1.556287195,1.769994811,1.579379129,2.210679698,1.780911543,1.69770774,1.613608558,1.997427121,1.685670195,1.87584169,1.759620049,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,2,1,1,0,0.446561037,0.735393525,-0.278268008,-0.478433642,-0.142344022,-0.026078321,-0.08329939,0.053011312,-0.252864813,-0.084858703,-0.59001736,-0.680415924,-0.066868341,-0.588921152,-0.197019031,0.841006851,0.070041971,-0.41075993,-0.122371892,-0.457472088,-0.012934691,0.188546029,0.071886885,1,1,0.799607997,-0.734386959,0.574082293,0.277948854,0.669602748,-0.234071082,-0.139179723,1.684620681,-0.026574292,0.548560439,-0.002095931,0.05974216,0.26620306,-0.178087046,-0.400791909,-0.341954685,-0.364215509,-0.320219565,-0.543671255,-0.577278117,0.757441098,-0.519868625,-0.582082442,0.041195705,0.008462117,-0.504977028,-0.497567038,-0.542318623,-0.445169372,-0.457431092,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3237628701,0.4658556485
100724,-0.214625642,1,0,0,0,0,0,0,0,0,1.426638228,1.430254973,-1.103061802,-2.126811692,-1.264917401,-1.551428755,-1.582526833,-1.433862207,-1.441091008,-2.022604799,-1.322380096,-1.525791279,-1.100576113,-2.48314149,-1.828574793,-1.537663672,-1.904054834,-1.742670972,-1.761482509,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,2,1,1,1,0,0,0,0,1,1,1,1,0,-0.077230831,-1.896997538,4.096789208,-0.719644571,-0.606829482,-0.134803511,-0.099501525,-0.746733737,-0.340877714,-0.377654034,-0.71690746,-0.684104093,-0.37690288,-0.436766532,-0.121608074,-0.08297355,0.094460163,-0.753231259,-1.184592194,-1.476115267,-1.196226588,-1.091506049,-1.070330463,1,1,-0.31629236,0.361888619,-1.110602298,-1.059624285,-1.204000217,-0.243168117,-0.272551464,0.7183979,-1.461079944,0.070213867,-0.964966076,0.186951032,-0.923760169,-0.040510965,-0.660383836,-0.273925754,-0.348833415,-0.471387162,-1.290849282,-1.198550106,-0.965202081,-0.860011624,-0.804449069,-0.588783759,-0.516151525,-0.692720947,-0.656359597,-0.611689188,-0.146947226,-0.071879041,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.1047179486,-0.06601712405
100751,-0.214625642,0,0,0,0,0,0,0,0,0,0.693556764,0.693849521,0.820791393,1.062314024,0.503687398,1.342943791,0.955533719,0.940087433,0.956811555,1.769994811,1.051786542,1.943788914,0.820415657,1.376103953,1.300682799,1.453566999,1.032992917,1.313177522,1.212102761,0,1,0,1,1,0,1,0,1,2,0,1,2,0,1,0,0,1,1,0,2,1,1,0,1,0,1,1,1,2,0,0,0,0,1,2,2,1,0,3.576980091,0.931750789,-0.21104762,-0.509940851,-0.483965586,-0.112783219,-0.088700101,0.023145314,-0.231791302,-0.484484763,-0.221596811,-0.70377433,0.439476279,0.155499969,-0.065621151,1.066852081,0.496449211,-0.698162513,-0.577627416,0.12948224,0.535000491,0.669273544,0.600413515,1,1,0.083936178,-0.0313013,0.336178353,0.371574881,0.295510086,0.534628395,1.22486427,-0.39647454,1.040566005,1.030085394,1.009542962,0.389180522,0.907025954,0.462920886,0.390552351,0.482226917,0.468937014,0.605085254,0.319652527,0.112072457,0.326780303,-0.373372002,-0.427336076,0.661982224,0.670814865,-0.531036351,-0.521602091,-0.620217732,-0.494639841,-0.491956546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0205913558,0.6981733425
100812,-0.214625642,0,0,0,0,0,0,0,0,0,0.607855314,0.510124473,-0.022497591,-0.026807843,0.019325497,0.003927598,0.036282028,0.039627819,0.025626059,0.099143983,0.089809393,0.00438255,-0.137945793,0.192602017,0.08235851,0.050407884,-0.004763955,0.08100767,0.116816453,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,1,1,0,1,1,2,0,1,0,1,1,0,1,0,0,0,0,1,1,2,1,0,-0.216519226,0.916704255,-0.068790519,-0.589483641,-0.549892555,-0.050851149,-0.080599034,-0.239011777,-0.523101607,-0.181138249,-0.539519101,-0.611853309,-0.292819989,-0.743279232,-0.280340229,0.366469693,-0.522554757,1.265822132,0.848380321,0.37149205,0.25336624,0.495250111,0.520448918,1,2,-0.599612036,0.640225694,-0.128155812,-0.024928784,-0.179051485,-0.206779976,-0.214507039,0.068749342,-0.116925064,-0.286490709,-0.271493242,-0.296892082,0.092802051,-0.210110608,-0.318013016,-0.31349918,-0.302281366,-0.238579338,-0.266985377,-0.37287546,-0.258918378,-0.593157972,-0.672039496,-0.300165525,-0.36926858,-0.461303452,-0.471980454,-0.527046438,-0.550933558,-0.569161733,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.3342802065,0.071413545
100830,-0.214625642,0,1,0,0,0,0,0,0,0,1.093606846,1.095713537,-0.718291163,-0.851161405,-0.911196441,-0.359628295,-0.770347456,-0.642545661,-0.242139727,-0.758404929,-0.00339863,-0.458228143,-0.780410818,-0.875122556,-0.576871756,-0.178013367,-0.925038917,-0.423320511,-0.477648869,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,2,0,0,0,0,1,2,1,1,0,0.008055726,-0.296422521,1.445492029,-0.708797826,-0.35960335,-0.10452561,-0.096801169,0.046374423,0.168605415,-0.413264277,-0.841694068,-0.851301108,-0.459939787,-0.638556959,-0.408134555,0.181448891,1.276738015,-0.201739869,-0.581628331,-1.241743119,-1.185318453,-0.828194539,-0.977503901,1,1,-0.385279121,0.429662145,-0.5348092,-0.500630859,-0.45214209,-0.238619599,-0.282334232,-0.024850393,-1.154392529,0.434138668,-0.034608429,-0.018540223,-0.864071002,-0.184706442,-0.620799004,-0.455945582,-0.379995415,-0.389968825,-0.588048942,-0.865623865,-0.534541286,-0.949879301,-0.82070394,-0.596400772,-0.439505248,-0.738197021,-0.78694028,-0.812033817,-0.752281386,-0.611566401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.7028929613,0.1983463981
100858,-0.214625642,0,0,0,0,0,0,0,0,0,0.589935545,0.589758454,1.397947352,0.849705643,1.211129318,1.172686583,1.158578564,1.203859615,1.556287195,1.769994811,1.579379129,1.943788914,1.460746248,1.054500166,1.613608558,1.72549706,1.359331556,1.691520669,1.580260937,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,2.578595146,1.052123058,-0.473676114,-0.592582711,-0.292178042,-0.125169634,-0.104902236,-0.282151551,0.190918545,-0.509543823,-0.115308565,-0.655145133,0.50521383,0.367147974,-0.181550117,1.234269689,0.914474086,-0.852515788,-0.486668411,0.255409142,0.87523922,1.19031617,1.11948855,1,1,0.463100056,-0.403797014,0.742831741,0.791408311,0.657044135,0.220780679,0.629745865,-0.024850393,1.028694234,2.066238103,0.998288636,1.09807099,1.289514134,0.093487065,0.567568204,0.361054463,0.530332784,0.710504762,0.637012246,0.329814125,0.757441098,-0.23918602,-0.285593607,0.815767079,0.834896749,-0.33789078,-0.429638703,-0.549933395,-0.551600847,-0.520282383,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3532812324,0.83234539705
100937,-0.214625642,0,0,0,0,0,0,0,0,0,-0.794773885,-0.801229623,1.205562032,1.062314024,0.680547878,0.832172165,1.158578564,0.764239312,0.657073734,1.137894876,0.787990249,1.143116562,0.500250362,0.732896379,0.98775704,0.909706877,0.706654278,1.012443226,0.919464211,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,-0.407602653,1.000964844,-0.014076249,-0.633387129,-0.338626588,-0.129298438,-0.121104371,-0.842968618,-0.338398477,-0.550429658,-0.084065513,-0.194397151,-0.464001375,-0.33679909,0.030532215,-0.430168456,0.217644477,-0.971094476,-0.537852087,1.234691944,0.798523454,0.529103319,0.690676325,1,5,0.235601729,-0.180299586,0.1830394,0.126510035,0.144273575,-0.35233254,-0.46396763,0.086636851,0.633628079,-0.090294452,-0.752384356,0.438107011,0.811523287,-0.341067294,0.33299577,0.517481833,0.437377202,0.243741655,0.123310892,0.100103803,0.757441098,-0.061051051,-0.286113762,-0.283315293,-0.541093093,-0.388476525,-0.341265917,-0.243438857,-0.188927158,-0.242689182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7705776555,-0.2178213483
