UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPLCN,APPLCNM,APPLCNW,ADMSSN,ADMSSNM,ADMSSNW,ENRLT,ENRLM,ENRLW,ENRLFT,ENRLFTM,ENRLFTW,ENRLPT,ENRLPTM,ENRLPTW,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR75,SATMT25,SATMT75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75
100654,1,2,1,2,3,2,1,1,3,9579,3160,6419,8789,2828,5961,1710,652,1058,1704,650,1054,6,2,4,592,35,1251,73,430,510,410,500,15,19,14,20,15,18
100663,1,3,1,1,3,3,1,3,3,8298,2957,5341,6112,2279,3833,2346,909,1437,2304,892,1412,42,17,25,312,13,2159,92,560,680,530,685,22,29,22,32,20,27
100706,1,2,1,3,3,2,1,1,3,5295,2894,2401,4372,2500,1872,1497,964,533,1489,960,529,8,4,4,108,7,1380,92,617,720,620,770,25,31,25,34,24,30
100724,1,3,2,3,3,3,1,1,3,6674,2051,4428,6467,1963,4320,1023,382,641,1004,371,633,19,11,8,275,27,819,80,450,510,430,510,15,19,14,20,15,17
100751,1,2,1,1,3,3,1,1,3,38505,14709,23796,31835,12230,19605,6764,2888,3876,6734,2879,3855,30,9,21,1808,27,4892,72,550,660,530,680,23,31,23,33,21,29
100830,1,2,1,3,3,3,1,1,3,4109,1442,2667,3716,1306,2410,626,238,388,602,228,374,24,10,14,39,6,530,85,470,570,450,580,19,23,19,24,16,22
100858,1,2,1,1,2,3,1,1,3,20205,8572,11633,16300,6997,9303,4808,2330,2478,4761,2305,2456,47,25,22,866,18,3911,81,580,650,570,670,25,31,25,33,23,28
100937,1,5,5,3,5,3,5,5,3,3384,1420,1964,1821,842,979,332,167,165,332,167,165,,,,58,17,246,74,570,660,540,650,22,29,22,30,20,27
101189,1,2,1,3,2,3,1,2,3,1209,572,637,947,492,455,276,159,117,259,148,111,17,11,6,18,7,222,80,500,590,500,570,18,23,17,23,16,22
101365,5,3,1,3,3,3,2,2,1,69,29,40,54,24,30,41,17,24,11,0,11,30,17,13,,,,,,,,,,,,,,
101435,1,2,1,2,2,2,1,1,3,2336,1172,1164,1385,695,690,256,141,115,256,141,115,0,0,0,47,18,228,89,530,595,505,585,17,24,19,24,16,23
101453,5,3,1,3,1,3,1,1,3,17,16,1,4,4,0,4,4,,0,0,,4,4,,0,0,2,50,,,,,1,21,1,20,2,16
101480,1,3,1,3,3,3,1,1,3,10187,3874,6313,5581,2152,3429,1493,608,885,1469,596,873,24,12,12,18,1,1327,89,480,590,450,570,18,24,17,25,16,23
101541,1,2,1,2,2,3,1,5,3,478,0,478,178,,178,47,,47,47,,47,0,,0,1,2,46,98,,,,,17,21,17,23,15,20
101587,2,3,1,2,3,3,1,1,3,7569,2681,4888,2644,938,1706,322,135,187,320,134,186,2,1,1,25,8,297,92,440,520,420,500,18,22,16,21,18,24
101648,1,3,1,1,3,3,1,1,3,1064,692,372,613,438,175,292,213,79,292,213,79,,,,112,42,188,70,560,650,540,650,18,26,17,26,17,26
101693,1,3,5,3,3,3,1,1,3,2696,791,1905,1231,345,886,266,88,178,266,88,178,0,0,0,12,5,254,95,540,590,470,570,20,27,19,28,17,25
101709,1,2,1,2,3,3,1,1,3,5553,1813,3740,2954,936,2018,493,189,304,482,185,297,11,4,7,68,14,456,92,520,620,510,620,20,25,20,27,17,24
101879,1,2,1,2,3,3,1,1,3,2691,925,1766,2389,829,1560,1030,345,685,1020,338,682,10,7,3,45,4,991,96,520,610,495,570,20,26,20,27,17,24
101912,1,3,1,2,2,3,1,2,3,1775,615,1160,1149,384,765,299,127,172,299,127,172,0,0,0,136,45,196,66,450,578,403,530,16,23,15,23,15,21
102049,1,3,1,5,5,3,5,3,3,3912,1306,2606,3259,1028,2231,901,279,622,900,278,622,1,1,0,328,36,758,84,550,640,520,610,23,29,23,32,21,27
102094,1,3,1,3,3,3,1,1,3,6350,2401,3949,4997,1829,3168,1617,604,1013,1600,597,1003,17,7,10,152,9,1523,94,520,620,510,600,20,27,21,29,18,26
102234,1,2,1,2,1,3,5,1,3,7616,2394,5222,3791,1223,2568,292,114,178,292,114,178,0,0,0,56,19,258,88,510,610,515,590,20,25,20,27,18,25
102270,1,3,1,3,3,3,2,1,3,2697,787,1539,889,305,546,235,115,119,231,112,119,4,3,0,,,,,,,,,,,,,,
102368,1,3,1,2,3,3,1,1,2,6146,2298,3848,5382,2006,3376,1679,642,1037,1395,541,854,284,101,183,95,6,1046,62,470,550,460,540,18,24,19,26,17,24
102377,1,2,1,2,2,2,1,1,3,10750,3326,7424,5561,1636,3925,526,188,338,513,181,332,13,7,6,298,57,338,65,460,558,420,540,18,23,17,24,16,22
102553,5,5,1,2,3,3,2,1,5,3673,1605,2068,3047,1344,1703,1356,613,743,1007,474,533,349,139,210,,,,,,,,,,,,,,
102614,1,3,1,3,3,3,1,1,3,1383,604,779,1051,460,591,686,307,379,539,262,277,147,45,102,273,40,261,38,520,650,510,630,17,25,15,25,17,25
102632,1,3,1,2,3,2,2,1,3,492,171,321,298,110,188,172,68,104,109,46,63,63,22,41,,,,,,,,,,,,,,
102669,1,3,1,2,3,3,3,1,3,353,100,253,315,90,225,52,14,38,48,12,36,4,2,2,,,,,,,,,,,,,,
104151,2,2,1,2,3,3,1,1,2,34188,17947,16241,29562,15231,14331,10044,5455,4589,9977,5420,4557,67,35,32,5801,58,5857,58,560,670,560,690,22,28,21,29,22,28
104179,1,3,1,2,3,2,5,5,3,40854,17880,22974,34558,14856,19702,7683,3281,4402,6036,2696,3340,1647,585,1062,3932,51,3821,50,560,670,550,690,21,29,20,29,20,28
