UNITID,ROOM,APPLFEEU,ASSOC1,SPORT1,SPORT2,SPORT3,SPORT4,STUFACR
100654,1,30,1,1,1,1,1,20
100663,1,30,1,1,1,1,1,19
100690,2,50,0,2,2,2,2,13
100706,1,30,1,2,1,1,1,19
100724,1,25,1,1,1,1,1,15
100733,-2,,-2,-2,-2,-2,-2,
100751,1,40,1,1,1,1,1,20
100760,2,0,0,2,2,2,2,18
100812,2,30,0,2,2,2,2,14
100830,1,0,1,2,1,1,1,16
100858,1,50,1,1,1,1,1,20
100937,1,50,1,1,1,1,1,11
101028,2,0,0,2,2,2,2,15
101116,2,0,0,2,2,2,2,6
101143,2,0,0,2,2,2,2,19
101161,1,,0,2,2,2,2,22
101189,1,25,0,1,1,1,2,13
101240,1,0,0,2,2,2,2,15
101277,2,0,-2,-2,-2,-2,-2,21
101286,2,0,0,2,2,2,2,16
101295,1,0,0,2,2,2,2,17
101301,2,0,0,2,2,2,2,13
101365,2,0,0,2,2,2,2,15
101435,1,0,1,1,1,1,1,13
101453,1,35,0,2,2,2,2,6
101462,2,0,0,2,2,2,2,12
101471,2,0,0,2,2,2,2,8
101480,1,35,1,1,1,1,1,18
101505,2,0,0,2,2,2,2,18
101514,2,0,0,2,2,2,2,22
101541,1,0,0,2,2,2,2,5
101569,1,0,0,2,2,2,2,17
101587,1,30,1,1,1,1,1,14
101602,1,0,0,2,2,2,2,17
101648,1,30,0,2,2,2,2,15
101675,1,0,1,1,1,1,1,16
101693,1,25,0,2,1,1,1,13
101709,1,35,1,2,1,1,1,13
101736,2,0,0,2,2,2,2,17
101879,1,35,1,1,1,1,1,16
101897,2,0,0,2,2,2,2,18
101912,1,25,0,2,2,2,2,11
101994,2,0,0,2,2,2,2,11
102030,2,0,0,2,2,2,2,19
102049,1,40,1,1,1,1,1,12
102058,2,20,0,2,2,2,2,13
102067,2,0,0,2,2,2,2,19
102076,1,0,0,2,2,2,2,20
102094,1,35,1,1,1,1,1,17
102234,1,0,1,2,1,1,1,13
102270,1,20,0,2,1,1,1,18
102298,1,25,0,2,1,1,1,20
102313,2,0,0,2,2,2,2,15
102368,1,30,1,1,1,1,1,15
102377,1,25,1,1,1,1,1,10
102395,2,50,0,2,2,2,2,9
102429,1,0,0,2,2,2,2,16
102553,1,50,1,2,1,2,1,14
102580,1,35,0,2,2,2,2,6
102614,1,50,1,2,1,2,1,10
102632,1,50,0,2,2,2,2,10
102669,1,25,0,2,2,2,2,7
102711,1,35,-2,-2,-2,-2,-2,15
102845,2,0,0,2,2,2,2,25
103501,2,25,0,2,2,2,2,15
103529,-2,,-2,-2,-2,-2,-2,
103741,2,125,-2,-2,-2,-2,-2,18
103893,2,0,0,2,2,2,2,22
103945,2,0,0,2,2,2,2,8
103954,2,100,-2,-2,-2,-2,-2,20
103963,2,40,-2,-2,-2,-2,-2,19
104090,2,0,0,2,2,2,2,16
104151,1,50,1,1,1,1,1,20
104160,1,0,0,2,2,2,2,19
104179,1,50,1,1,1,1,1,15
104188,2,25,0,2,2,2,2,16
104346,1,0,0,2,2,2,2,16
104391,2,100,-2,-2,-2,-2,-2,18
104425,1,0,0,2,2,2,2,15
104434,2,125,-2,-2,-2,-2,-2,11
104443,2,125,-2,-2,-2,-2,-2,13
104568,2,50,-2,-2,-2,-2,-2,18
104577,1,0,0,2,2,2,2,19
104586,1,50,1,2,1,2,1,17
104665,1,,0,2,2,2,2,
104708,2,0,0,2,2,2,2,21
104717,1,0,1,2,1,1,1,21
105136,-2,,-2,-2,-2,-2,-2,
105145,2,0,0,2,2,2,2,15
105154,2,0,0,2,2,2,2,20
105206,2,,0,2,2,2,2,13
105215,2,50,-2,-2,-2,-2,-2,31
105297,1,20,0,2,2,2,2,13
105330,1,25,1,1,1,2,1,19
105349,2,0,0,2,2,2,2,16
105367,2,50,0,2,2,2,2,6
105428,2,0,0,2,2,2,2,17
105525,2,0,0,2,2,2,2,19
105534,2,50,0,2,2,2,2,25
105543,2,0,0,2,2,2,2,12
105589,1,0,0,2,2,2,2,9
105659,2,0,0,2,2,2,2,34
105668,2,0,0,2,2,2,2,32
105677,2,50,-2,-2,-2,-2,-2,6
105747,2,0,0,2,2,2,2,17
105792,2,0,0,2,2,2,2,18
105899,1,0,0,1,1,1,1,15
106041,2,50,0,2,2,2,2,40
106111,2,125,-2,-2,-2,-2,-2,13
106148,1,0,0,2,2,2,2,19
106245,1,40,1,2,1,1,1,13
106263,1,70,0,2,2,2,2,14
106306,1,25,0,2,2,2,2,24
106315,2,100,-2,-2,-2,-2,-2,20
