NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,INDEX,VARIABLE NAME,VALUE,LABEL,SOURCE,SHOWN/USE ON SITE,NOTES
Percent completed within 4 years at original institution,completion,title_iv.completed_by.4yrs,float,,COMP_ORIG_YR4_RT,,,NSLDS,,
Percent completed within 6 years at original institution,completion,title_iv.completed_by.6yrs,float,,COMP_ORIG_YR6_RT,,,NSLDS,,
Percent who transferred to a 4-year institution and completed within 6 years,completion,title_iv.transf_completed_4yr_by.6yrs,float,,COMP_4YR_TRANS_YR6_RT,,,NSLDS,,
Percent who transferred to a 2-year institution and completed within 6 years,completion,title_iv.transf_completed_2yr_by.6yrs,float,,COMP_2YR_TRANS_YR6_RT,,,NSLDS,,
Percent still enrolled at original institution within 6 years,completion,title_iv.still_enrolled_by.6yrs,float,,ENRL_ORIG_YR6_RT,,,NSLDS,,
Percent who transferred to a 4-year institution and were still enrolled within 6 years,completion,title_iv.transf_still_enrolled_4yr_by.6yrs,float,,ENRL_4YR_TRANS_YR6_RT,,,NSLDS,,
Percent who transferred to a 2-year institution and were still enrolled within 6 years,completion,title_iv.transf_still_enrolled_2yr_by.6yrs,float,,ENRL_2YR_TRANS_YR6_RT,,,NSLDS,,
Percent with status unknown within 6 years at original institution,completion,title_iv.unknown_by.6yrs,float,,UNKN_ORIG_YR6_RT,,,NSLDS,,
Percent who transferred to a 4-year institution and whose status is unknown within 6 years,completion,title_iv.transf_unknown_4yr_by.6yrs,float,,UNKN_4YR_TRANS_YR6_RT,,,NSLDS,,
Percent who transferred to a 2-year institution and whose status is unknown within 6 years,completion,title_iv.transf_unknown_2yr_by.6yrs,float,,UNKN_2YR_TRANS_YR6_RT,,,NSLDS,,
Percent died within 8 years at original institution,completion,title_iv.died_by.8yrs,float,,DEATH_YR8_RT,,,NSLDS,,
Percent completed within 8 years at original institution,completion,title_iv.completed_by.8yrs,float,,COMP_ORIG_YR8_RT,,,NSLDS,,
Percent who transferred to a 4-year institution and completed within 8 years,completion,title_iv.transf_completed_4yr_by.8yrs,float,,COMP_4YR_TRANS_YR8_RT,,,NSLDS,,
Percent who transferred to a 2-year institution and completed within 8 years,completion,title_iv.transf_completed_2yr_by.8yrs,float,,COMP_2YR_TRANS_YR8_RT,,,NSLDS,,
Percent withdrawn from original institution within 8 years,completion,title_iv.withdrawn_by.8yrs,float,,WDRAW_ORIG_YR8_RT,,,NSLDS,,
Percent who transferred to a 4-year institution and withdrew within 8 years,completion,title_iv.transf_withdrawn_4yr_by.8yrs,float,,WDRAW_4YR_TRANS_YR8_RT,,,NSLDS,,
Percent who transferred to a 2-year institution and withdrew within 8 years,completion,title_iv.transf_withdrawn_2yr_by.8yrs,float,,WDRAW_2YR_TRANS_YR8_RT,,,NSLDS,,
Percent still enrolled at original institution within 8 years,completion,title_iv.still_enrolled_by.8yrs,float,,ENRL_ORIG_YR8_RT,,,NSLDS,,
Percent who transferred to a 4-year institution and were still enrolled within 8 years,completion,title_iv.transf_still_enrolled_4yr_by.8yrs,float,,ENRL_4YR_TRANS_YR8_RT,,,NSLDS,,
Percent who transferred to a 2-year institution and were still enrolled within 8 years,completion,title_iv.transf_still_enrolled_2yr_by.8yrs,float,,ENRL_2YR_TRANS_YR8_RT,,,NSLDS,,
Percent with status unknown within 8 years at original institution,completion,title_iv.unknown_by.8yrs,float,,UNKN_ORIG_YR8_RT,,,NSLDS,,
Percent who transferred to a 4-year institution and whose status is unknown within 8 years,completion,title_iv.transf_unknown_4yr_by.8yrs,float,,UNKN_4YR_TRANS_YR8_RT,,,NSLDS,,
