UNITID,INSTNM,CITY,STABBR,ZIP,INSTURL,MAIN,NUMBRANCH,CONTROL,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE,ADM_RATE_ALL,SATVR25,SATVR75,SATMT25,SATMT75,SATVRMID,SATMTMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTCMMID,ACTENMID,ACTMTMID,SAT_AVG,SAT_AVG_ALL,CIP01BACHL,CIP03BACHL,CIP04BACHL,CIP05BACHL,CIP09BACHL,CIP10BACHL,CIP11BACHL,CIP12BACHL,CIP13BACHL,CIP14BACHL,CIP15BACHL,CIP16BACHL,CIP19BACHL,CIP22BACHL,CIP23BACHL,CIP24BACHL,CIP25BACHL,CIP26BACHL,CIP27BACHL,CIP29BACHL,CIP30BACHL,CIP31BACHL,CIP38BACHL,CIP39BACHL,CIP40BACHL,CIP41BACHL,CIP42BACHL,CIP43BACHL,CIP44BACHL,CIP45BACHL,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,CIP50BACHL,CIP51BACHL,CIP52BACHL,CIP54BACHL,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,UG25ABV,COMP_ORIG_YR2_RT,COMP_ORIG_YR3_RT,COMP_ORIG_YR4_RT,COMP_ORIG_YR6_RT,COMP_ORIG_YR8_RT,OPEFLAG,ADMCON7,MDCOMP_ALL,UGDS_MEN,UGDS_WOMEN,MD_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,COUNT_NWNE_1YR,COUNT_WNE_1YR,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,C150_4,OVERALL_YR6_N,NPT4,NPT41,NPT42,NPT43,NPT44,NPT45,GPA_BOTTOM_TEN_PERCENT,CLIMATE_ZONE
100654,Alabama A & M University,Normal,AL,35762,www.aamu.edu/,1,1,1,5,12,34.783368,-86.568502,18,10,14,1,0,0,0,0,0,0,0,0,-1,0.9175,0.9175,430,510,410,500,470,455,15,19,14,20,15,18,17,17,17,939,939,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,2,0,0,5271,0.014,0.9072,0.0091,0.0019,0.0021,0.0011,0.0114,0.007,0.0461,23053,10024,18634,7870,5546,7709,0.711,0.0383,0.036073329,0.11443433,0.210526316,0.280772325,0.314393939,1,1,0.5845,0.3967,0.6033,28704,16621,43112,19,552,1600,9240,3090,9240,3090,0.2974,1243,14990,14310,13849,18405,19016,19419,2.5,Cfa
100663,University of Alabama at Birmingham,Birmingham,AL,35294-0110,https://www.uab.edu/,1,1,1,5,12,33.505697,-86.799345,15,9,15,0,0,0,0,0,0,0,0,0,-1,0.7366,0.7366,560,680,530,685,620,608,22,29,22,32,20,27,26,27,24,1234,1234,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,2,2,1,0,13328,0.5586,0.2414,0.0565,0.0678,0.0022,0.0003,0.0446,0.023,0.0056,24495,8568,20400,12096,14983,11049,0.7754,0.1996,0.145747708,0.327259204,0.461707585,0.536302395,0.524893863,1,1,0.5845,0.389,0.611,39271,25402,57882,127,2737,1200,12307,5555,12307,5555,0.634,2672,16953,14554,15526,18197,19455,19451,2.9,Cfa
100690,Amridge University,Montgomery,AL,36117-3553,www.amridgeuniversity.edu/,1,1,2,5,12,32.362609,-86.17401,20,5,6,0,0,0,0,0,0,0,0,0,74,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,365,0.1863,0.7288,0.0164,0.0027,0.0027,0,0.0411,0,0.0219,14800,6950,6950,16403,5245,4187,1,0.8466,,0.0859375,0.162962963,0.141463415,0.239726027,1,,0.5845,0.2932,0.7068,32939,19587,50710,2,17,900,,,9600,1600,0.3333,205,8705,8705,,,,,,Cfa
100706,University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu/,1,1,1,5,12,34.724557,-86.640449,16,15,12,0,0,0,0,0,0,0,0,0,-1,0.8257,0.8257,617,720,620,770,669,695,25,31,25,34,24,30,28,30,27,1319,1319,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,2,1,1,0,7785,0.7161,0.0879,0.0566,0.0347,0.01,0.0014,0.0361,0.0218,0.0353,23917,11122,23518,8275,8488,9688,0.6434,0.1543,0.165609584,0.313755796,0.464680851,0.529255319,0.485385297,1,1,0.5845,0.581,0.419,47533,28209,68584,36,1193,2120,10400,3994,10400,3994,0.5768,1128,15860,13010,13580,16306,17552,19231,2.9,Cfa
100724,Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu/,1,1,1,5,12,32.364317,-86.295677,19,10,14,1,0,0,0,0,0,0,0,0,-1,0.969,0.969,450,510,430,510,480,470,15,19,14,20,15,17,17,17,16,946,946,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,2,1,1,1,0,0,0,0,1,1,1,1,0,3750,0.0163,0.9275,0.0099,0.0037,0.0021,0.0008,0.012,0.0147,0.0131,21866,11068,19396,9587,9346,7221,0.6501,0.0691,0.02650039,0.130295763,0.237909516,0.284132841,0.266284896,1,1,0.5845,0.3691,0.6309,25949,15137,36956,34,784,1600,6050,3392,7320,4228,0.3276,1897,13650,13531,13696,15166,11878,13573,2.5,Cfa
100751,The University of Alabama,Tuscaloosa,AL,35487-0100,www.ua.edu/,1,1,1,5,12,33.211875,-87.545978,15,14,16,0,0,0,0,0,0,0,0,0,-1,0.8268,0.8268,550,660,530,680,605,605,23,31,23,33,21,29,27,28,25,1261,1261,0,1,0,1,1,0,1,0,1,2,0,1,2,0,1,0,0,1,1,0,2,1,1,0,1,0,1,1,1,2,0,0,0,0,1,2,2,1,0,31900,0.7683,0.1008,0.0505,0.0119,0.0037,0.0012,0.0352,0.0235,0.005,29872,10780,30250,14694,9983,10291,0.7604,0.0828,0.105988968,0.419467651,0.569689592,0.621311823,0.586767399,1,1,0.5845,0.4451,0.5549,44485,29124,62269,205,5376,1000,13636,4600,13636,4600,0.711,4711,22597,19322,19863,23284,24108,25509,2.8,Cfa
100812,Athens State University,Athens,AL,35611,www.athens.edu/,1,1,1,5,31,34.806793,-86.964698,22,5,9,0,0,0,0,0,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,1,1,0,1,1,2,0,1,0,1,1,0,1,0,0,0,0,1,1,2,1,0,2677,0.7643,0.1281,0.0351,0.0075,0.0082,0.0015,0.0273,0,0.028,,,,6944,7540,8421,0.4808,0.5714,0.292740047,0.463054187,0.515715949,0.587987355,0.571428571,1,,0.5845,0.3153,0.6847,38536,25249,54258,42,962,,,,,,,949,,,,,,,FALSE,Cfa
100830,Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu/,1,1,1,5,12,32.36736,-86.177544,18,9,13,0,1,0,0,0,0,0,0,0,-1,0.9044,0.9044,470,570,450,580,520,515,19,23,19,24,16,22,21,22,19,1082,1082,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,2,0,0,0,0,1,2,1,1,0,4407,0.4418,0.4187,0.012,0.0202,0.0043,0.0009,0.0359,0.0558,0.0104,19849,8620,18292,7847,6086,7927,0.9745,0.2063,0.105465005,0.172506739,0.24,0.334555454,0.284090909,1,1,0.5845,0.356,0.644,33326,20600,49648,35,754,1200,6980,3850,10296,3850,0.3401,1091,13987,12137,13461,15780,17215,16605,2.6,Cfa
100858,Auburn University,Auburn,AL,36849,www.auburn.edu/,1,1,1,5,13,32.599378,-85.488258,15,14,15,0,0,0,0,0,0,0,0,0,-1,0.8067,0.8067,580,650,570,670,615,620,25,31,25,33,23,28,28,29,26,1300,1300,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,24209,0.8003,0.0504,0.0345,0.0247,0.0028,0.0006,0.026,0.0576,0.0031,31590,11492,31124,16519,8664,10738,0.8751,0.0444,0.11790103,0.442147382,0.634894459,0.721088435,0.686336495,1,1,0.5845,0.5171,0.4829,49695,33227,68372,136,3551,1200,13600,5904,13600,5904,0.7911,2646,24104,18394,20326,24079,26518,27492,2.9,Cfa
100937,Birmingham-Southern College,Birmingham,AL,35254,www.bsc.edu/,1,1,2,5,12,33.513774,-86.850552,21,14,11,0,0,0,0,0,0,0,0,0,71,0.5381,0.5381,570,660,540,650,615,595,22,29,22,30,20,27,26,26,24,1230,1230,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1205,0.7867,0.1386,0.0266,0.0216,0.0025,0,0.0091,0.0149,0,32095,18238,18238,10449,11077,6294,0.6839,0.0149,,0.618518519,0.620192308,0.594470046,0.604081633,1,5,0.5845,0.4739,0.5261,42523,26729,59716,10,197,1260,12402,3190,8000,4690,0.691,217,22107,19592,19625,20559,22617,25400,2.9,Cfa
